Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.6919871794871796,0.8300816848535715,0.7514035087719299,0.7596984620345631,0.7496386800334168,0.6621463545458391
cgan,0.5,0.7020512820512821,0.827167640534655,0.7555263157894737,0.7660730967397832,0.7659774436090225,0.7901044007344171
cgan,0.75,0.7152564102564102,0.8409815135768229,0.771140350877193,0.7857685159466368,0.7673819966583124,0.9256216962914914
cgan,1.0,0.7168589743589743,0.843148011918369,0.7685964912280702,0.7873187528807025,0.7740288220551379,1.050397847434506
cgan,1.5,0.7271153846153847,0.8604127125592836,0.7583333333333333,0.7936140268247293,0.795578529657477,1.312053389698267
dcgan,0.25,0.6729487179487179,0.8424841433447422,0.7057894736842105,0.7289164091017377,0.7603216374269006,0.6601323704468086
dcgan,0.5,0.7018589743589743,0.8466079220334883,0.7486842105263157,0.7630959863910735,0.7796595655806182,0.785585089311935
dcgan,0.75,0.6963461538461538,0.8512551045505647,0.7326315789473683,0.7544848289146351,0.7802266081871345,0.9157830035686493
dcgan,1.0,0.7130128205128204,0.8598371737970183,0.7407894736842106,0.7702322883737689,0.8011883876357561,1.0444415777735412
dcgan,1.5,0.7562179487179488,0.8432142630433287,0.8335964912280701,0.8251453803572258,0.8070071010860486,1.3011330092092976
wgan,0.25,0.6630128205128206,0.8545645443483063,0.6812280701754386,0.7130762859393873,0.7706829573934837,0.6709892936050892
wgan,0.5,0.7050641025641027,0.8537868877380349,0.7416666666666667,0.762453763338903,0.7848475355054302,0.7986836906336248
wgan,0.75,0.7049358974358974,0.8489335631894684,0.748859649122807,0.7586681562401079,0.7929385964912281,0.9329679308086634
wgan,1.0,0.7387820512820512,0.8448816126381682,0.8081578947368421,0.8023075486325584,0.797921888053467,1.0663581369724124
wgan,1.5,0.7610256410256411,0.8449115952238635,0.8370175438596492,0.8315784230795928,0.81218671679198,1.3236818573018536
