Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.75,0.7622377622377622,0.956140350877193,0.8482490272373541,0.7598162071846283,0.8669194793328643
dcgan,0,0.5,0.8076923076923077,0.8088235294117647,0.9649122807017544,0.88,0.7844611528822055,1.0274928291328251
dcgan,0,0.75,0.8333333333333334,0.8333333333333334,0.9649122807017544,0.8943089430894309,0.7928153717627402,1.138065286912024
dcgan,0,1.0,0.8205128205128205,0.8524590163934426,0.9122807017543859,0.8813559322033898,0.8279030910609858,1.2629495011642575
dcgan,0,1.5,0.8461538461538461,0.8879310344827587,0.9035087719298246,0.8956521739130435,0.8690476190476191,1.5013998239301145
cgan,0,0.25,0.7628205128205128,0.7692307692307693,0.9649122807017544,0.8560311284046692,0.7370509607351713,0.856734620872885
cgan,0,0.5,0.7307692307692307,0.7337662337662337,0.9912280701754386,0.8432835820895521,0.7038429406850459,0.9965572720393538
cgan,0,0.75,0.7564102564102564,0.8220338983050848,0.8508771929824561,0.8362068965517241,0.7813283208020051,1.1107536903582513
cgan,0,1.0,0.782051282051282,0.8773584905660378,0.8157894736842105,0.8454545454545455,0.7869674185463659,1.2280830526724458
cgan,0,1.5,0.8076923076923077,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8281119465329992,1.4743599891662598
wgan,0,0.25,0.8076923076923077,0.828125,0.9298245614035088,0.8760330578512396,0.8398078529657478,0.8063697158358991
wgan,0,0.5,0.8141025641025641,0.8102189781021898,0.9736842105263158,0.8844621513944223,0.7798663324979115,1.0006656609475613
wgan,0,0.75,0.6923076923076923,0.9024390243902439,0.6491228070175439,0.7551020408163265,0.8078529657477025,1.1220705420710146
wgan,0,1.0,0.6858974358974359,0.9113924050632911,0.631578947368421,0.7461139896373057,0.8358395989974937,1.2213331460952759
wgan,0,1.5,0.6282051282051282,0.9242424242424242,0.5350877192982456,0.6777777777777777,0.816624895572264,0.8672284549102187
