Model,Run,Strategy,Acc,Prec,Rec,F1,AUC,Ratio,Synth,TrainTime
baseline,0,None,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444443,0.5096073517126148,0.0,0,1.0589427361264825
baseline,0,smote,0.28205128205128205,1.0,0.017543859649122806,0.034482758620689655,0.8047201336675021,0.5,252,0.5465267761610448
baseline,0,undersampling,0.782051282051282,0.8125,0.9122807017543859,0.859504132231405,0.7464494569757728,0.5,-252,0.2671933169476688
baseline,0,oversampling,0.6730769230769231,0.8987341772151899,0.6228070175438597,0.7357512953367876,0.8059732664995823,0.5,252,0.49364283541217446
baseline,1,None,0.8076923076923077,0.8088235294117647,0.9649122807017544,0.88,0.7723475355054302,0.0,0,0.3388996380381286
baseline,1,smote,0.27564102564102566,1.0,0.008771929824561403,0.017391304347826087,0.7629490392648287,0.5,252,0.4822084619663656
baseline,1,undersampling,0.3076923076923077,0.875,0.06140350877192982,0.11475409836065574,0.7197159565580619,0.5,-252,0.19857972022145987
baseline,1,oversampling,0.75,0.7819548872180451,0.9122807017543859,0.8421052631578947,0.682748538011696,0.5,252,0.4865215141326189
dcgan,0,gan_balanced,0.6153846153846154,0.921875,0.5175438596491229,0.6629213483146068,0.7855054302422723,0.5,252,0.5031424188055098
dcgan,1,gan_balanced,0.8141025641025641,0.8632478632478633,0.8859649122807017,0.8744588744588745,0.8084795321637427,0.5,252,0.4965174328535795
cgan,0,gan_balanced,0.7371794871794872,0.7449664429530202,0.9736842105263158,0.844106463878327,0.6965329991645781,0.5,252,0.5004682121798396
cgan,1,gan_balanced,0.6025641025641025,0.8714285714285714,0.5350877192982456,0.6630434782608695,0.7307852965747702,0.5,252,0.7595091280527413
wgan,0,gan_balanced,0.34615384615384615,0.875,0.12280701754385964,0.2153846153846154,0.7245196324143693,0.5,252,0.7601939546875656
wgan,1,gan_balanced,0.7435897435897436,0.7681159420289855,0.9298245614035088,0.8412698412698412,0.7259816207184627,0.5,252,0.777928174007684
