Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.7307692307692307,0.8289754988846522,0.8052631578947368,0.8071798787464493,0.7703842940685046,0.8937246035784483
cgan,0.5,0.6974358974358974,0.8634744645627656,0.7070175438596491,0.7655080547989381,0.7890559732664996,1.020482504926622
cgan,0.75,0.7153846153846154,0.8595861085071318,0.7473684210526316,0.7835055688072077,0.8010025062656642,1.1471971224062145
cgan,1.0,0.726923076923077,0.8651324828043541,0.7526315789473683,0.7972849532661502,0.7934001670843777,1.2794594924896956
cgan,1.5,0.7679487179487179,0.8584591198850987,0.8210526315789475,0.8370046455855336,0.8124477861319968,1.5334602903574706
dcgan,0.25,0.6717948717948719,0.8734016554403723,0.6754385964912281,0.7177302325217663,0.8063074352548035,0.8650359527207911
dcgan,0.5,0.7153846153846153,0.8640062170890545,0.7421052631578947,0.7731557629981861,0.8163324979114452,0.9928191285580397
dcgan,0.75,0.6948717948717948,0.8594892686031115,0.7315789473684211,0.7431781758278702,0.82468671679198,1.1146645109169184
dcgan,1.0,0.7846153846153845,0.8593960867943427,0.8543859649122807,0.8488738501761184,0.8397243107769423,1.2298631868325174
dcgan,1.5,0.7525641025641026,0.8735985718261837,0.7929824561403509,0.8073341169617068,0.8137844611528824,1.4789522579871117
wgan,0.25,0.7512820512820513,0.8196494814141871,0.8596491228070174,0.8299503736100575,0.7799081035923142,0.8872553072869778
wgan,0.5,0.7384615384615384,0.84379821805791,0.7947368421052632,0.8101901104757531,0.7881787802840434,1.0206574720330537
wgan,0.75,0.7705128205128204,0.8162037331531578,0.8929824561403509,0.8492837605697474,0.7816207184628237,1.146936643216759
wgan,1.0,0.7769230769230769,0.8258166691706836,0.8964912280701753,0.8521332598130338,0.8038011695906432,1.2840716056525707
wgan,1.5,0.7756410256410255,0.7930205498378042,0.9456140350877194,0.8597942393053103,0.8317042606516288,1.517337240371853
