Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.7333333333333333,0.8030121116382336,0.856140350877193,0.8197471526224431,0.7443609022556391,0.6502268257550895
cgan,0.5,0.6538461538461539,0.8469418786874445,0.6771929824561403,0.7078030131127475,0.7551378446115289,0.7767545982263983
cgan,0.75,0.6807692307692308,0.869018781338308,0.6824561403508771,0.7320277170368134,0.7872180451127819,0.9044793948531151
cgan,1.0,0.6820512820512821,0.8571674300490258,0.6877192982456141,0.7544978001945886,0.7615288220551377,1.0223595269024373
cgan,1.5,0.7435897435897435,0.836103576915718,0.8263157894736842,0.8187185760739073,0.8091060985797828,1.276325349509716
dcgan,0.25,0.7307692307692307,0.8752413291292747,0.7473684210526316,0.7952940228903904,0.7978696741854636,0.6327597308903933
dcgan,0.5,0.6358974358974359,0.8833667643547163,0.5929824561403509,0.6769387786958124,0.781077694235589,0.7512063413858414
dcgan,0.75,0.6051282051282052,0.9158710354373399,0.5298245614035088,0.6122415819783706,0.826608187134503,0.8727525849826634
dcgan,1.0,0.7371794871794871,0.8768375210197468,0.7543859649122806,0.7960486313033618,0.8210108604845449,0.9887597277760506
dcgan,1.5,0.7897435897435898,0.8296510851393368,0.9035087719298247,0.8619569101822655,0.8399331662489559,1.2378641062416136
wgan,0.25,0.7538461538461538,0.8081438638835241,0.887719298245614,0.8393100502273991,0.7761904761904761,0.6465667120181025
wgan,0.5,0.691025641025641,0.8493250730141316,0.7263157894736842,0.7624616014153146,0.7537593984962406,0.7767253609374165
wgan,0.75,0.7192307692307692,0.8505468783983645,0.7701754385964913,0.7942536961159025,0.7837510442773601,0.8975396766327322
wgan,1.0,0.7666666666666668,0.8296418733576424,0.8614035087719298,0.8416298197041889,0.7881370091896407,1.0213411178439855
wgan,1.5,0.7858974358974359,0.8431272779876242,0.8736842105263157,0.8557801985994951,0.8251461988304094,1.2841759531758725
