Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.7628205128205128,0.8290598290598291,0.8508771929824561,0.8398268398268398,0.8065998329156224,0.8498773612082005
dcgan,0,0.5,0.7243589743589743,0.8317757009345794,0.7807017543859649,0.8054298642533937,0.772765246449457,1.0150473942048848
dcgan,0,0.75,0.7115384615384616,0.8791208791208791,0.7017543859649122,0.7804878048780488,0.7863408521303259,1.1711978637613356
dcgan,0,1.0,0.7756410256410257,0.8691588785046729,0.8157894736842105,0.8416289592760181,0.8297827903091062,1.291237496305257
dcgan,0,1.5,0.7884615384615384,0.8932038834951457,0.8070175438596491,0.847926267281106,0.8377192982456141,1.5487368260510266
dcgan,1,0.25,0.7371794871794872,0.8543689320388349,0.7719298245614035,0.8110599078341014,0.7564745196324145,0.9299230258911848
dcgan,1,0.5,0.7564102564102564,0.88,0.7719298245614035,0.822429906542056,0.7888471177944861,1.0310987490229309
dcgan,1,0.75,0.7435897435897436,0.7803030303030303,0.9035087719298246,0.8373983739837398,0.6911027568922307,1.1594763561151922
dcgan,1,1.0,0.7756410256410257,0.816,0.8947368421052632,0.8535564853556485,0.815998329156224,1.3011879120022058
dcgan,1,1.5,0.7756410256410257,0.898989898989899,0.7807017543859649,0.8356807511737089,0.839390142021721,1.5704516507685184
dcgan,2,0.25,0.782051282051282,0.7985074626865671,0.9385964912280702,0.8629032258064516,0.7725563909774437,0.9246562151238322
dcgan,2,0.5,0.7948717948717948,0.7928571428571428,0.9736842105263158,0.8740157480314961,0.8425229741019216,1.0687419851310551
dcgan,2,0.75,0.782051282051282,0.8225806451612904,0.8947368421052632,0.8571428571428571,0.7514619883040935,1.1506901700049639
dcgan,2,1.0,0.8141025641025641,0.8244274809160306,0.9473684210526315,0.8816326530612245,0.7811194653299917,1.2904696301557124
dcgan,2,1.5,0.7692307692307693,0.8,0.9122807017543859,0.8524590163934426,0.8220551378446116,1.5437192767858505
dcgan,3,0.25,0.4166666666666667,0.896551724137931,0.22807017543859648,0.36363636363636365,0.7842522974101922,0.8983682622201741
dcgan,3,0.5,0.717948717948718,0.9166666666666666,0.6754385964912281,0.7777777777777778,0.8187134502923976,1.030896837823093
dcgan,3,0.75,0.75,0.831858407079646,0.8245614035087719,0.8281938325991189,0.7861319966583125,1.152791844215244
dcgan,3,1.0,0.8141025641025641,0.8294573643410853,0.9385964912280702,0.8806584362139918,0.8671679197994987,1.279351952020079
dcgan,3,1.5,0.8076923076923077,0.8559322033898306,0.8859649122807017,0.8706896551724138,0.837092731829574,1.5375752761028707
dcgan,4,0.25,0.6987179487179487,0.8383838383838383,0.7280701754385965,0.7793427230046949,0.7685881370091897,0.9075814341194928
dcgan,4,0.5,0.75,0.8504672897196262,0.7982456140350878,0.8235294117647058,0.7823725981620719,1.0307497503235936
dcgan,4,0.75,0.75,0.8947368421052632,0.7456140350877193,0.8133971291866029,0.8504594820384295,1.1659393240697682
dcgan,4,1.0,0.7948717948717948,0.8416666666666667,0.8859649122807017,0.8632478632478633,0.7903091060985797,1.293974389322102
dcgan,4,1.5,0.75,0.7516778523489933,0.9824561403508771,0.8517110266159695,0.7456140350877193,1.5624281018972397
dcgan,5,0.25,0.6858974358974359,0.8217821782178217,0.7280701754385965,0.772093023255814,0.7370509607351713,0.9012600188143551
dcgan,5,0.5,0.782051282051282,0.8508771929824561,0.8508771929824561,0.8508771929824561,0.7832080200501254,1.025776210706681
dcgan,5,0.75,0.7628205128205128,0.8031496062992126,0.8947368421052632,0.8464730290456431,0.7278613199665831,1.165791262872517
dcgan,5,1.0,0.8525641025641025,0.8582677165354331,0.956140350877193,0.9045643153526971,0.858813700918964,1.31133416807279
dcgan,5,1.5,0.7692307692307693,0.9431818181818182,0.7280701754385965,0.8217821782178217,0.8696741854636592,1.5815123640932143
dcgan,6,0.25,0.5384615384615384,0.9375,0.39473684210526316,0.5555555555555556,0.7848788638262323,0.8963298657909036
dcgan,6,0.5,0.42948717948717946,0.9310344827586207,0.23684210526315788,0.3776223776223776,0.8051378446115288,1.0243454431183636
dcgan,6,0.75,0.7628205128205128,0.8737864077669902,0.7894736842105263,0.8294930875576036,0.8448203842940685,1.1565364398993552
dcgan,6,1.0,0.8269230769230769,0.8717948717948718,0.8947368421052632,0.8831168831168831,0.8446115288220551,1.2839628937654197
dcgan,6,1.5,0.8076923076923077,0.8,0.9824561403508771,0.8818897637795275,0.8398078529657477,1.5282535678707063
dcgan,7,0.25,0.7884615384615384,0.7872340425531915,0.9736842105263158,0.8705882352941177,0.8049289891395155,0.9026217218488455
dcgan,7,0.5,0.6410256410256411,0.9393939393939394,0.543859649122807,0.6888888888888889,0.845655806182122,1.0323337772861123
dcgan,7,0.75,0.8653846153846154,0.8780487804878049,0.9473684210526315,0.9113924050632911,0.8842940685045948,1.1558221164159477
dcgan,7,1.0,0.8076923076923077,0.9117647058823529,0.8157894736842105,0.8611111111111112,0.8709273182957394,1.2816680781543255
dcgan,7,1.5,0.7948717948717948,0.7887323943661971,0.9824561403508771,0.875,0.8333333333333334,1.4649021769873798
dcgan,8,0.25,0.7115384615384616,0.7593984962406015,0.8859649122807017,0.8178137651821862,0.6370091896407686,0.9077725019305944
dcgan,8,0.5,0.7564102564102564,0.7753623188405797,0.9385964912280702,0.8492063492063492,0.7445697577276525,1.036454128101468
