Model,Run,Strategy,Acc,Prec,Rec,F1,AUC,Ratio,Synth,TrainTime
baseline,0,None,0.7564102564102564,0.8114754098360656,0.868421052631579,0.8389830508474576,0.7387218045112782,0.0,0,1.1551751499064267
baseline,0,smote,0.2692307692307692,0.0,0.0,0.0,0.7825814536340852,0.5,252,0.7581291850656271
baseline,0,undersampling,0.7564102564102564,0.8114754098360656,0.868421052631579,0.8389830508474576,0.6885964912280702,0.5,-252,0.35090264305472374
baseline,0,oversampling,0.7115384615384616,0.8165137614678899,0.7807017543859649,0.7982062780269058,0.752297410192147,0.5,252,0.7055740598589182
baseline,1,None,0.38461538461538464,0.875,0.18421052631578946,0.30434782608695654,0.7610693400167085,0.0,0,0.48418714804574847
baseline,1,smote,0.5192307692307693,0.975609756097561,0.3508771929824561,0.5161290322580645,0.7652464494569757,0.5,252,0.7056220308877528
baseline,1,undersampling,0.4807692307692308,0.9230769230769231,0.3157894736842105,0.47058823529411764,0.7662907268170426,0.5,-252,0.27464266074821353
baseline,1,oversampling,0.7115384615384616,0.8484848484848485,0.7368421052631579,0.7887323943661972,0.7819548872180452,0.5,252,0.7125250906683505
baseline,2,None,0.4358974358974359,0.8611111111111112,0.2719298245614035,0.4133333333333334,0.7293233082706767,0.0,0,0.4837533216923475
baseline,2,smote,0.2692307692307692,0.0,0.0,0.0,0.781328320802005,0.5,252,0.7057064012624323
baseline,2,undersampling,0.28205128205128205,1.0,0.017543859649122806,0.034482758620689655,0.722013366750209,0.5,-252,0.2751368470489979
baseline,2,oversampling,0.7115384615384616,0.8791208791208791,0.7017543859649122,0.7804878048780487,0.7606516290726817,0.5,252,0.7108942540362477
baseline,3,None,0.7307692307692307,0.7337662337662337,0.9912280701754386,0.8432835820895521,0.714703425229741,0.0,0,0.4840931938961148
baseline,3,smote,0.28846153846153844,1.0,0.02631578947368421,0.05128205128205127,0.7846700083542187,0.5,252,0.7081472780555487
baseline,3,undersampling,0.3525641025641026,0.9333333333333333,0.12280701754385964,0.21705426356589147,0.7554302422723476,0.5,-252,0.27517003705725074
baseline,3,oversampling,0.75,0.7819548872180451,0.9122807017543859,0.8421052631578947,0.6443191311612364,0.5,252,0.7127696601673961
baseline,4,None,0.75,0.7906976744186046,0.8947368421052632,0.8395061728395061,0.760233918128655,0.0,0,0.4847271731123328
baseline,4,smote,0.28846153846153844,1.0,0.02631578947368421,0.05128205128205127,0.760233918128655,0.5,252,0.7088794591836631
baseline,4,undersampling,0.391025641025641,0.9130434782608695,0.18421052631578946,0.3065693430656934,0.6906850459482039,0.5,-252,0.27758469013497233
baseline,4,oversampling,0.7628205128205128,0.8181818181818182,0.868421052631579,0.8425531914893618,0.7529239766081872,0.5,252,0.7070671091787517
dcgan,0,gan_balanced,0.7884615384615384,0.8521739130434782,0.8596491228070176,0.8558951965065502,0.8370927318295739,0.5,252,0.7412378038279712
dcgan,1,gan_balanced,0.7948717948717948,0.7847222222222222,0.9912280701754386,0.8759689922480621,0.7986633249791145,0.5,252,0.7355994372628629
dcgan,2,gan_balanced,0.7756410256410257,0.898989898989899,0.7807017543859649,0.8356807511737089,0.8579782790309107,0.5,252,0.7196422889828682
dcgan,3,gan_balanced,0.6474358974358975,0.8241758241758241,0.6578947368421053,0.7317073170731707,0.7326649958228905,0.5,252,0.7701020468957722
dcgan,4,gan_balanced,0.7628205128205128,0.8130081300813008,0.8771929824561403,0.8438818565400843,0.772138680033417,0.5,252,0.7522721700370312
cgan,0,gan_balanced,0.5064102564102564,0.9512195121951219,0.34210526315789475,0.503225806451613,0.8103592314118631,0.5,252,0.769917821045965
cgan,1,gan_balanced,0.7564102564102564,0.8015873015873016,0.8859649122807017,0.8416666666666667,0.6950710108604845,0.5,252,0.7724886829964817
cgan,2,gan_balanced,0.7243589743589743,0.7414965986394558,0.956140350877193,0.8352490421455938,0.7487468671679198,0.5,252,0.7811314202845097
cgan,3,gan_balanced,0.6346153846153846,0.8904109589041096,0.5701754385964912,0.6951871657754011,0.8153717627401839,0.5,252,0.7969041299074888
cgan,4,gan_balanced,0.7692307692307693,0.8145161290322581,0.8859649122807017,0.8487394957983193,0.7266081871345029,0.5,252,0.7814321252517402
wgan,0,gan_balanced,0.8012820512820513,0.7985611510791367,0.9736842105263158,0.8774703557312253,0.8239348370927319,0.5,252,0.7691391780972481
wgan,1,gan_balanced,0.8012820512820513,0.8120300751879699,0.9473684210526315,0.8744939271255059,0.8068086883876358,0.5,252,0.7719887821003795
wgan,2,gan_balanced,0.75,0.7659574468085106,0.9473684210526315,0.8470588235294116,0.7408103592314119,0.5,252,0.7765339319594204
wgan,3,gan_balanced,0.7564102564102564,0.75,1.0,0.8571428571428571,0.8297827903091061,0.5,252,0.7622070186771452
wgan,4,gan_balanced,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444443,0.7756892230576441,0.5,252,0.7567167971283197
