Model,Run,TrainTime,Params,LatencyPerImage
dcgan,0,12.057395622134209,759680,0.00019548881391528994
dcgan,1,12.07788757327944,759680,3.9040372939780354e-05
dcgan,2,11.963573340792209,759680,4.068849375471473e-05
dcgan,3,12.1269462518394,759680,4.108816210646182e-05
dcgan,4,12.168611222878098,759680,4.154833732172847e-05
cgan,0,18.047181752044708,868613,0.0004683084989665076
cgan,1,18.257238847669214,868613,6.384168227668852e-05
cgan,2,18.211146804969758,868613,6.553118873853236e-05
cgan,3,18.129054680932313,868613,6.353443313855678e-05
cgan,4,18.28274978324771,868613,6.28898706054315e-05
wgan,0,55.403387737926096,759680,7.55088112782687e-05
wgan,1,54.91962396586314,759680,6.238619971554726e-05
wgan,2,55.113223663996905,759680,7.503615051973611e-05
wgan,3,54.94396123662591,759680,6.360937550198287e-05
wgan,4,54.85279762884602,759680,7.586312131024897e-05
