Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.6923076923076923,0.84375,0.7105263157894737,0.7714285714285714,0.7370509607351713,0.4775458690710366
dcgan,0,0.5,0.4423076923076923,0.9090909090909091,0.2631578947368421,0.4081632653061224,0.7890559732664995,0.554711826145649
dcgan,0,0.75,0.5512820512820513,0.9230769230769231,0.42105263157894735,0.5783132530120482,0.8366750208855471,0.6264649122022092
dcgan,0,1.0,0.782051282051282,0.8636363636363636,0.8333333333333334,0.8482142857142857,0.81265664160401,0.7062163422815502
dcgan,0,1.5,0.8012820512820513,0.8074074074074075,0.956140350877193,0.8755020080321286,0.8157894736842105,0.8694509728811681
dcgan,1,0.25,0.7628205128205128,0.8290598290598291,0.8508771929824561,0.8398268398268399,0.779030910609858,0.420693953987211
dcgan,1,0.5,0.5769230769230769,0.9137931034482759,0.4649122807017544,0.6162790697674418,0.7656641604010026,0.49737863475456834
dcgan,1,0.75,0.4358974358974359,0.90625,0.2543859649122807,0.3972602739726027,0.6783625730994153,0.576133499853313
dcgan,1,1.0,0.8076923076923077,0.8559322033898306,0.8859649122807017,0.8706896551724138,0.8279030910609858,0.6513977176509798
dcgan,1,1.5,0.782051282051282,0.7941176470588235,0.9473684210526315,0.864,0.8285296574770259,0.8569171498529613
cgan,0,0.25,0.6410256410256411,0.8918918918918919,0.5789473684210527,0.7021276595744681,0.775689223057644,0.6424884139560163
cgan,0,0.5,0.7948717948717948,0.8867924528301887,0.8245614035087719,0.8545454545454546,0.817251461988304,0.7844320833683014
cgan,0,0.75,0.7628205128205128,0.8737864077669902,0.7894736842105263,0.8294930875576036,0.7928153717627402,0.9048071368597448
cgan,0,1.0,0.6794871794871795,0.8636363636363636,0.6666666666666666,0.7524752475247524,0.7775689223057644,1.0039236270822585
cgan,0,1.5,0.7051282051282052,0.8148148148148148,0.7719298245614035,0.7927927927927928,0.7740183792815373,1.2503665490075946
cgan,1,0.25,0.7884615384615384,0.813953488372093,0.9210526315789473,0.8641975308641974,0.7297410192147034,0.6350862463004887
cgan,1,0.5,0.7692307692307693,0.782608695652174,0.9473684210526315,0.8571428571428571,0.6902673350041771,0.7576336413621902
cgan,1,0.75,0.5833333333333334,0.8656716417910447,0.5087719298245614,0.6408839779005525,0.7838345864661654,0.8786867829039693
cgan,1,1.0,0.6666666666666666,0.8690476190476191,0.6403508771929824,0.7373737373737373,0.8005430242272348,1.0000874558463693
cgan,1,1.5,0.6666666666666666,0.9078947368421053,0.6052631578947368,0.7263157894736842,0.8105680868838764,1.24787280196324
wgan,0,0.25,0.7756410256410257,0.8761904761904762,0.8070175438596491,0.8401826484018265,0.8091060985797828,0.6341730011627078
wgan,0,0.5,0.7756410256410257,0.7841726618705036,0.956140350877193,0.8616600790513833,0.8151629072681704,0.76040362380445
wgan,0,0.75,0.7756410256410257,0.8319327731092437,0.868421052631579,0.849785407725322,0.7953216374269005,0.8789419862441719
wgan,0,1.0,0.7628205128205128,0.7619047619047619,0.9824561403508771,0.8582375478927203,0.7351712614870509,0.9991186209954321
wgan,0,1.5,0.8397435897435898,0.8617886178861789,0.9298245614035088,0.8945147679324894,0.8538011695906433,1.2611718787811697
wgan,1,0.25,0.6730769230769231,0.8620689655172413,0.6578947368421053,0.746268656716418,0.7807017543859649,0.6338420268148184
wgan,1,0.5,0.7884615384615384,0.7913669064748201,0.9649122807017544,0.8695652173913044,0.7410192147034251,0.7725089238956571
wgan,1,0.75,0.7692307692307693,0.8095238095238095,0.8947368421052632,0.8500000000000001,0.7201336675020885,0.8975942167453468
wgan,1,1.0,0.7884615384615384,0.8403361344537815,0.8771929824561403,0.8583690987124464,0.7896825396825397,1.021909890230745
wgan,1,1.5,0.7756410256410257,0.898989898989899,0.7807017543859649,0.8356807511737089,0.8717627401837929,1.2747115739621222
