strategy,strategy_display_name,strategy_index,gan_run_id,generation_run_id,classifier_run_id,ratio,acc,prec,rec,f1,auc,tn,fp,fn,tp,synthetic_class0_count,synthetic_class1_count,total_synthetic_count,balanced_dataset_size,total_real_samples,real_class0_count,real_class1_count,gan_training_time_sec,synthetic_generation_time_sec,classifier_training_time_sec,classifier_eval_time_sec,gan_seed,generation_seed,classifier_seed
baseline,ResNet sem balanceamento,1,1,1,1,0.2692307692307692,0.7435897435897436,0.7681159420289855,0.9298245614035088,0.8412698412698413,0.5839598997493735,10,32,8,106,0,0,0,546,546,147,399,0.0,0.0,0.292766809463501,0.11150479316711426,10002025,10003025,11003025
baseline,ResNet sem balanceamento,1,1,1,2,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.29154038429260254,0.11201715469360352,10002025,10003025,11003026
baseline,ResNet sem balanceamento,1,1,1,3,0.2692307692307692,0.7307692307692307,0.7368421052631579,0.9824561403508771,0.8421052631578947,0.5150375939849624,2,40,2,112,0,0,0,546,546,147,399,0.0,0.0,0.30895256996154785,0.11203336715698242,10002025,10003025,11003027
baseline,ResNet sem balanceamento,1,1,1,4,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.291614294052124,0.10999107360839844,10002025,10003025,11003028
baseline,ResNet sem balanceamento,1,1,1,5,0.2692307692307692,0.7692307692307693,0.76,1.0,0.8636363636363636,0.5714285714285714,6,36,0,114,0,0,0,546,546,147,399,0.0,0.0,0.3080565929412842,0.11163878440856934,10002025,10003025,11003029
baseline,ResNet sem balanceamento,1,1,1,6,0.2692307692307692,0.782051282051282,0.7857142857142857,0.9649122807017544,0.8661417322834646,0.62531328320802,12,30,4,110,0,0,0,546,546,147,399,0.0,0.0,0.2941935062408447,0.11216282844543457,10002025,10003025,11003030
baseline,ResNet sem balanceamento,1,1,1,7,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.3082420825958252,0.11199021339416504,10002025,10003025,11003031
baseline,ResNet sem balanceamento,1,1,1,8,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.29219770431518555,0.11185574531555176,10002025,10003025,11003032
baseline,ResNet sem balanceamento,1,1,1,9,0.2692307692307692,0.7435897435897436,0.7569444444444444,0.956140350877193,0.8449612403100775,0.5614035087719298,7,35,5,109,0,0,0,546,546,147,399,0.0,0.0,0.30840420722961426,0.11211299896240234,10002025,10003025,11003033
baseline,ResNet sem balanceamento,1,1,1,10,0.2692307692307692,0.7435897435897436,0.743421052631579,0.9912280701754386,0.849624060150376,0.531328320802005,3,39,1,113,0,0,0,546,546,147,399,0.0,0.0,0.3086509704589844,0.1117088794708252,10002025,10003025,11003034
baseline,ResNet sem balanceamento,1,1,2,1,0.2692307692307692,0.6153846153846154,0.8214285714285714,0.6052631578947368,0.696969696969697,0.6240601503759398,27,15,45,69,0,0,0,546,546,147,399,0.0,0.0,0.2922689914703369,0.1117866039276123,10002025,10003026,11004025
baseline,ResNet sem balanceamento,1,1,2,2,0.2692307692307692,0.6923076923076923,0.7796610169491526,0.8070175438596491,0.7931034482758621,0.593984962406015,16,26,22,92,0,0,0,546,546,147,399,0.0,0.0,0.3077988624572754,0.11180448532104492,10002025,10003026,11004026
baseline,ResNet sem balanceamento,1,1,2,3,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.29163289070129395,0.11168980598449707,10002025,10003026,11004027
baseline,ResNet sem balanceamento,1,1,2,4,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.3098893165588379,0.11198306083679199,10002025,10003026,11004028
baseline,ResNet sem balanceamento,1,1,2,5,0.2692307692307692,0.7307692307692307,0.7337662337662337,0.9912280701754386,0.8432835820895522,0.5075187969924811,1,41,1,113,0,0,0,546,546,147,399,0.0,0.0,0.29247212409973145,0.11188435554504395,10002025,10003026,11004029
baseline,ResNet sem balanceamento,1,1,2,6,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.30976128578186035,0.1125328540802002,10002025,10003026,11004030
baseline,ResNet sem balanceamento,1,1,2,7,0.2692307692307692,0.7243589743589743,0.7933884297520661,0.8421052631578947,0.8170212765957446,0.6234335839598997,17,25,18,96,0,0,0,546,546,147,399,0.0,0.0,0.3135063648223877,0.1123955249786377,10002025,10003026,11004031
baseline,ResNet sem balanceamento,1,1,2,8,0.2692307692307692,0.717948717948718,0.7868852459016393,0.8421052631578947,0.8135593220338984,0.6115288220551378,16,26,18,96,0,0,0,546,546,147,399,0.0,0.0,0.29465627670288086,0.11082220077514648,10002025,10003026,11004032
baseline,ResNet sem balanceamento,1,1,2,9,0.2692307692307692,0.782051282051282,0.8125,0.9122807017543859,0.859504132231405,0.6704260651629073,18,24,10,104,0,0,0,546,546,147,399,0.0,0.0,0.3115236759185791,0.11325931549072266,10002025,10003026,11004033
baseline,ResNet sem balanceamento,1,1,2,10,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.2930870056152344,0.11035370826721191,10002025,10003026,11004034
