strategy,gan_run_id,num_rows,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,gan_training_time_sec_mean,gan_training_time_sec_std,synthetic_generation_time_sec_mean,synthetic_generation_time_sec_std,classifier_training_time_sec_mean,classifier_training_time_sec_std,classifier_eval_time_sec_mean,classifier_eval_time_sec_std,ratio_mean,ratio_std,synthetic_class0_count_mean,synthetic_class0_count_std,synthetic_class1_count_mean,synthetic_class1_count_std,total_synthetic_count_mean,total_synthetic_count_std,balanced_dataset_size_mean,balanced_dataset_size_std,total_real_samples_mean,total_real_samples_std,real_class0_count_mean,real_class0_count_std,real_class1_count_mean,real_class1_count_std
baseline,1,60,0.7276709401709403,0.03613875819214186,0.7519516026174613,0.031219907301816494,0.9466374269005847,0.11045077324965298,0.8325220187433072,0.042785975725747126,0.5399853801169592,0.05388270717486444,5.6,8.503332679994747,36.4,8.503332679994747,6.083333333333333,12.59138815046044,107.91666666666667,12.59138815046044,0.0,0.0,0.0,0.0,0.2995957771937052,0.008976281450789509,0.11227325598398845,0.0009802884329311822,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,60,0.7283119658119658,0.04528339409268843,0.7549902765591475,0.04286972278749684,0.9469298245614034,0.12827654005879335,0.830816699873283,0.06473058027052345,0.5409252297410192,0.057351137422799306,5.666666666666667,9.296355319275518,36.333333333333336,9.296355319275518,6.05,14.623525566702444,107.95,14.623525566702444,0.0,0.0,0.0,0.0,0.2956184188524882,0.009378112980398,0.11210354963938395,0.0011176864236272733,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,3,60,0.7380341880341881,0.0185590177355628,0.7509587332587505,0.026222039329642604,0.9654970760233917,0.060091809880540775,0.8428878721089454,0.016223317449350343,0.5430659983291563,0.05224600514753914,5.066666666666666,6.5494698682836585,36.93333333333333,6.5494698682836585,3.933333333333333,6.850466326381649,110.06666666666666,6.850466326381649,0.0,0.0,0.0,0.0,0.29348002274831136,0.00878153177562738,0.11191705465316773,0.0010722045266598177,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,60,0.7340811965811965,0.037805872631190514,0.7640072273469938,0.0325494142533177,0.9302631578947369,0.10751042905980122,0.8335721459718699,0.04209429500270722,0.5659252297410192,0.05572885808568045,8.466666666666667,8.351580023497883,33.53333333333333,8.351580023497883,7.95,12.25618891281734,106.05,12.25618891281734,0.0,0.0,0.0,0.0,0.2989705761273702,0.009270354404829404,0.11251668135325114,0.001411397360664992,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,5,60,0.7246794871794872,0.05476206427792727,0.7641472779590274,0.041110694500463806,0.9176900584795321,0.1441383307235664,0.8232787287848969,0.07317693665676422,0.5592418546365915,0.061539479248118194,8.433333333333334,9.960533229813663,33.56666666666667,9.960533229813663,9.383333333333333,16.43176970248657,104.61666666666666,16.43176970248657,0.0,0.0,0.0,0.0,0.29930641651153567,0.009465643707277654,0.11175628503163655,0.0013861802367998747,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,6,60,0.7236111111111112,0.05258874326907604,0.7652317941047682,0.040300071503846076,0.9131578947368422,0.1445790385541693,0.822246243013156,0.06824998681393997,0.5611424394319131,0.060564193224600486,8.783333333333333,10.089750024433489,33.21666666666667,10.089750024433487,9.9,16.4820103951753,104.1,16.4820103951753,0.0,0.0,0.0,0.0,0.29969753821690875,0.008907508574532227,0.11262667576471964,0.0010618802065141372,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,7,60,0.7177350427350428,0.06310079054153106,0.7610881899581847,0.04217059760199194,0.9135964912280701,0.16420797250225871,0.8167853486258674,0.08546577582197097,0.5498538011695906,0.06311417811889491,7.816666666666666,10.820492389699998,34.18333333333333,10.820492389699996,9.85,18.71970886525749,104.15,18.719708865257495,0.0,0.0,0.0,0.0,0.30126221974690753,0.009968564983365971,0.11243712107340495,0.0012485049354438809,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,8,60,0.7295940170940172,0.03621448184501331,0.7585148089023173,0.03334016651126912,0.9346491228070175,0.10783201952196238,0.8320454813961756,0.03970330989965626,0.5538324979114453,0.058274976223492606,7.266666666666667,8.65999743392315,34.733333333333334,8.65999743392315,7.45,12.292850225503713,106.55,12.292850225503713,0.0,0.0,0.0,0.0,0.30563670794169107,0.008115290465503553,0.11282766262690226,0.0011735756385985896,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,9,60,0.7108974358974359,0.06260756686953114,0.7665182673463729,0.04538875718996488,0.8902046783625732,0.17296866357438268,0.8090532065819929,0.08115139910743019,0.5572055137844611,0.061851055564277654,9.416666666666666,11.416788320519723,32.583333333333336,11.416788320519721,12.516666666666667,19.71842764747963,101.48333333333333,19.718427647479626,0.0,0.0,0.0,0.0,0.3052066922187805,0.008334993247921961,0.11281882127126058,0.0010528944915068029,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,10,60,0.730448717948718,0.04071774486482587,0.755488555978839,0.03337758379354456,0.9440058479532163,0.11183312275208121,0.8333789776010679,0.04639237822292078,0.5473997493734335,0.058711070270973935,6.333333333333333,8.651910514768144,35.666666666666664,8.651910514768144,6.383333333333334,12.74897599373726,107.61666666666666,12.74897599373726,0.0,0.0,0.0,0.0,0.30459635257720946,0.008431966426339534,0.11226819753646851,0.0023109141143054027,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
