strategy,gan_run_id,generation_run_id,num_rows,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,gan_training_time_sec_mean,gan_training_time_sec_std,synthetic_generation_time_sec_mean,synthetic_generation_time_sec_std,classifier_training_time_sec_mean,classifier_training_time_sec_std,classifier_eval_time_sec_mean,classifier_eval_time_sec_std,ratio_mean,ratio_std,synthetic_class0_count_mean,synthetic_class0_count_std,synthetic_class1_count_mean,synthetic_class1_count_std,total_synthetic_count_mean,total_synthetic_count_std,balanced_dataset_size_mean,balanced_dataset_size_std,total_real_samples_mean,total_real_samples_std,real_class0_count_mean,real_class0_count_std,real_class1_count_mean,real_class1_count_std
baseline,1,1,10,0.7435897435897436,0.017200522903844558,0.7474114753159375,0.018386464997741797,0.9824561403508772,0.02320834483389992,0.8485516278585795,0.008444275440204426,0.5388471177944862,0.04212092440565889,4.0,4.266145801540309,38.0,4.266145801540309,2.0,2.6457513110645907,112.0,2.6457513110645907,0.0,0.0,0.0,0.0,0.3004619121551514,0.008031941733671189,0.11170158386230469,0.0006055836621230087,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,1,2,10,0.7185897435897436,0.04018059985696106,0.7650706420874586,0.03550031904368891,0.9,0.12275688199674317,0.8201219235973938,0.04516958218269331,0.563095238095238,0.06417951944361291,9.5,9.759610647971568,32.5,9.759610647971568,11.4,13.994284547628721,102.6,13.99428454762872,0.0,0.0,0.0,0.0,0.3016596794128418,0.00896864523834761,0.11185119152069092,0.0007807651124966471,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,1,3,10,0.7314102564102565,0.012643001873920543,0.7437482618046021,0.02410997559124801,0.9710526315789474,0.06885266474803652,0.8400084048979035,0.017036860821831486,0.5260025062656641,0.04498751230441682,3.4,6.560487786742691,38.6,6.56048778674269,3.3,7.849203781276161,110.7,7.849203781276161,0.0,0.0,0.0,0.0,0.30089874267578126,0.009506964468732311,0.11267800331115722,0.0012502935291801842,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,1,4,10,0.7224358974358974,0.06287608740104544,0.7598296119203377,0.034545801053641544,0.9210526315789472,0.15730885453656065,0.8215735415305356,0.07558231443146803,0.5521929824561403,0.05664593574715331,7.7,9.910095862301233,34.3,9.910095862301231,9.0,17.933209417167916,105.0,17.933209417167916,0.0,0.0,0.0,0.0,0.30193970203399656,0.00729453316524368,0.11286561489105225,0.00046892142923759384,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,1,5,10,0.7243589743589745,0.02643016426677986,0.7398353264203534,0.0218849230616836,0.9675438596491228,0.09448064774219073,0.8347668085834761,0.031983508120256396,0.5159147869674185,0.035128198991438986,2.7,6.827151675479314,39.3,6.827151675479314,3.7,10.770793842609745,110.3,10.770793842609745,0.0,0.0,0.0,0.0,0.29719009399414065,0.009342786612090438,0.11235361099243164,0.000918035961981333,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,1,6,10,0.7256410256410256,0.026861957486867906,0.7558142981560783,0.03888834560786644,0.9377192982456141,0.11810874998761965,0.8301098059919573,0.03533938294117775,0.543859649122807,0.05988283755764934,6.3,9.829038610159184,35.7,9.829038610159184,7.1,13.464397498588639,106.9,13.46439749858864,0.0,0.0,0.0,0.0,0.29542453289031984,0.008498509395738915,0.11218953132629395,0.0010632176866031066,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,1,10,0.7243589743589743,0.04385290096535146,0.7556009161885875,0.0391693696344375,0.9368421052631579,0.1357695257119007,0.8274585152980695,0.05484003873130226,0.5422305764411027,0.05770482799841616,6.2,9.907572861200668,35.8,9.907572861200668,7.2,15.477725931156682,106.8,15.477725931156682,0.0,0.0,0.0,0.0,0.2995191812515259,0.008740542822065732,0.1125859260559082,0.0010188381855326075,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,2,10,0.7371794871794872,0.01033622788243405,0.7400020547940266,0.008824053583271105,0.987719298245614,0.018062509019275436,0.8459557645855735,0.006321938689390541,0.5224310776942356,0.02114380840911221,2.4,2.244994432064365,39.6,2.2449944320643644,1.4,2.0591260281974,112.6,2.0591260281974,0.0,0.0,0.0,0.0,0.28986401557922364,0.007853233978682766,0.11166970729827881,0.0008951799178139977,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,3,10,0.7403846153846153,0.02568105849232067,0.7610036681735315,0.03449965581347741,0.9491228070175438,0.08132861043157374,0.841247073225385,0.02390177923697317,0.5614661654135338,0.06493202421799797,7.3,8.331266410336426,34.7,8.331266410336426,5.8,9.271461589199408,108.2,9.271461589199408,0.0,0.0,0.0,0.0,0.2987538814544678,0.008819607316013452,0.11193583011627198,0.000989622003732106,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,4,10,0.7371794871794872,0.008600261451922287,0.7488447725644709,0.03109992154037661,0.9710526315789473,0.055899978829315154,0.8435141562194346,0.005407498594006007,0.5367167919799499,0.0610934065105912,4.3,7.457211275000863,37.7,7.457211275000863,3.3,6.372597586541927,110.7,6.372597586541928,0.0,0.0,0.0,0.0,0.2943523645401001,0.009964196938614094,0.11199381351470947,0.0013021682478050183,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,5,10,0.7371794871794872,0.013137116366614894,0.744151655602513,0.02273377712685826,0.9798245614035087,0.04077768175147178,0.8448176563382356,0.007797214315613836,0.5291979949874687,0.04701853914118305,3.3,5.496362433464518,38.7,5.496362433464518,2.3,4.648655719667783,111.7,4.648655719667784,0.0,0.0,0.0,0.0,0.2965601682662964,0.008702720431786817,0.11222021579742432,0.0010004750800999386,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,2,6,10,0.6935897435897436,0.08811712962789531,0.7803385920317554,0.0753761154909644,0.8570175438596491,0.238849517538379,0.7819070335730013,0.13539900193066023,0.5535087719298246,0.06869820024620996,10.5,14.6850263874465,31.5,14.6850263874465,16.3,27.2288449993752,97.7,27.2288449993752,0.0,0.0,0.0,0.0,0.2946609020233154,0.00867460402118504,0.11221580505371094,0.0012217711585729568,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,3,1,10,0.7442307692307693,0.020159211786559494,0.7497583878632266,0.029066729274153262,0.9807017543859649,0.03230167129740697,0.8487718731546343,0.007350915741942491,0.5415413533834587,0.061738288687804434,4.3,6.466065264130884,37.7,6.466065264130885,2.2,3.682390527904394,111.8,3.682390527904394,0.0,0.0,0.0,0.0,0.2885910987854004,0.005588095134284478,0.11151924133300781,0.0007245438958823382,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,3,2,10,0.7416666666666667,0.014058789871449555,0.7522883256779094,0.01926019069406059,0.9666666666666666,0.036337395047733305,0.8453382176896429,0.008322074261192847,0.5488095238095239,0.043287033643026995,5.5,4.944694126030447,36.5,4.944694126030447,3.8,4.142463035441596,110.2,4.142463035441596,0.0,0.0,0.0,0.0,0.288712477684021,0.0055579018201586715,0.1111682415008545,0.00029083603902975837,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,3,3,10,0.7333333333333334,0.023847532356074706,0.752592991360455,0.02798445890304055,0.9535087719298245,0.08011322397064519,0.8381316414542737,0.02448845511783981,0.544611528822055,0.053144357287869766,5.7,7.362744053679988,36.3,7.362744053679987,5.3,9.132907532653553,108.7,9.132907532653553,0.0,0.0,0.0,0.0,0.29083034992218015,0.00792996030092105,0.11152493953704834,0.0010173573336048664,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
